time,open,high,low,close,volume
2025-02-20 04:18:00+00:00,1.04276,1.04278,1.04271,1.04278,33
2025-02-20 04:19:00+00:00,1.04277,1.04292,1.04277,1.04288,44
2025-02-20 04:20:00+00:00,1.04288,1.0429,1.04286,1.04288,58
2025-02-20 04:21:00+00:00,1.04288,1.04288,1.0428,1.04282,43
2025-02-20 04:22:00+00:00,1.04282,1.04284,1.04282,1.04282,34
2025-02-20 04:23:00+00:00,1.0428,1.0428,1.04264,1.04266,53
2025-02-20 04:24:00+00:00,1.04264,1.04274,1.04264,1.04273,51
2025-02-20 04:25:00+00:00,1.04275,1.04286,1.04272,1.04286,65
2025-02-20 04:26:00+00:00,1.04285,1.04288,1.0428,1.04286,73
2025-02-20 04:27:00+00:00,1.04286,1.04287,1.04278,1.04282,49
2025-02-20 04:28:00+00:00,1.04282,1.04282,1.04276,1.04276,42
2025-02-20 04:29:00+00:00,1.04276,1.04276,1.04265,1.04266,31
2025-02-20 04:30:00+00:00,1.04265,1.04266,1.04255,1.04255,51
2025-02-20 04:31:00+00:00,1.04256,1.04256,1.04242,1.04243,97
2025-02-20 04:32:00+00:00,1.04242,1.04254,1.04241,1.04252,92
2025-02-20 04:33:00+00:00,1.04252,1.04254,1.04242,1.04243,87
2025-02-20 04:34:00+00:00,1.04242,1.04251,1.04242,1.0425,79
2025-02-20 04:35:00+00:00,1.04248,1.04262,1.04248,1.04261,82
2025-02-20 04:36:00+00:00,1.04262,1.04268,1.04262,1.04268,49
2025-02-20 04:37:00+00:00,1.04269,1.04273,1.04266,1.04267,92
2025-02-20 04:38:00+00:00,1.04268,1.04272,1.04268,1.0427,21
2025-02-20 04:39:00+00:00,1.04271,1.04282,1.0427,1.04272,86
2025-02-20 04:40:00+00:00,1.04271,1.04272,1.04264,1.04266,66
2025-02-20 04:41:00+00:00,1.04267,1.04273,1.04267,1.04272,36
2025-02-20 04:42:00+00:00,1.04273,1.04273,1.04266,1.04268,31
2025-02-20 04:43:00+00:00,1.04268,1.04269,1.04266,1.04268,58
2025-02-20 04:44:00+00:00,1.0427,1.04272,1.04268,1.04272,90
2025-02-20 04:45:00+00:00,1.04271,1.04274,1.04267,1.04268,37
2025-02-20 04:46:00+00:00,1.04268,1.0427,1.04264,1.04268,47
2025-02-20 04:47:00+00:00,1.04268,1.04278,1.04268,1.04273,35
2025-02-20 04:48:00+00:00,1.04273,1.04276,1.04272,1.04276,39
2025-02-20 04:49:00+00:00,1.04276,1.04278,1.04274,1.04277,31
2025-02-20 04:50:00+00:00,1.04274,1.04282,1.04274,1.04279,62
2025-02-20 04:51:00+00:00,1.04278,1.04286,1.04278,1.04286,66
2025-02-20 04:52:00+00:00,1.04286,1.04297,1.04286,1.04293,58
2025-02-20 04:53:00+00:00,1.04292,1.04296,1.04292,1.04296,76
2025-02-20 04:54:00+00:00,1.04296,1.043,1.04296,1.04296,49
